firm,year,quarter,operating_expense,num_buy,num_sold,rent_rev,mean_rent,noi
Invitation Homes,2014,tot,320658,7183,100,631000.1,1424,338064
Invitation Homes,2015,tot,347962,3576,1481,800000.2,1515,488087
Invitation Homes,2016,1,84967,513,637,214323,1573,139535
Invitation Homes,2016,2,91281,413,74,219354,1603,139215
Invitation Homes,2016,3,94246,209,131,221049,1623,138792
Invitation Homes,2016,tot,360327,1253,1093,878000,1611,562260
Invitation Homes,2017,1,88168,121,501,226096,1661,150582
Invitation Homes,2017,2,92840,229,422,228504,1683,149376
Invitation Homes,2017,3,93267,270,128,229375,1705,150269
Invitation Homes,2017,tot,391495,35580,1308,994921,1791,662961
Invitation Homes,2018,1,160767,190,251,423669,1704,262902
Invitation Homes,2018,2,165423,263,348,432426,1725,267003
Invitation Homes,2018,3,170021,249,413,434251,1745,264230
Invitation Homes,2018,tot,655411,938,2701,1722962,1735,1067551
Invitation Homes,2019,1,160346,208,654,435500,1781,275154
Invitation Homes,2019,2,166574,740,779,441582,1800,275008
Invitation Homes,2019,3,175491,578,668,443326,1821,267835
Invitation Homes,2019,tot,669987,2153,3455,1764685,1809,1094698
Invitation Homes,2020,1,166916,504,484,449789,1851,282873
Invitation Homes,2020,2,167002,147,416,449755,1869,282753
Invitation Homes,2020,3,177997,544,403,459184,1881,281187
Starwood Waypoint,2017,1,18946,,,141095,,
Starwood Waypoint,2017,2,26813,,,156299,,
Starwood Waypoint,2017,3,21718,,,141641,,
STarwood Waypoint,2016,tot,64226.00,,,400466.00,,